"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G02860",762.439902934779,0.258730070745496,0.364137572049751,0.710528356876468,0.477376552675589,0.974287329552216
"AT1G02870",355.849959651205,0.899398711065466,0.342203258341866,2.62825875891268,0.00858232048424681,0.184447011799698
"AT1G02880",439.285621522463,0.225503032452273,0.32000575659411,0.704684299596202,0.481006724110289,0.974341722293499
"AT1G02890",1045.34970283196,-0.136652274889717,0.345086127524536,-0.395994692310548,0.692108943782162,0.995818004740788
"AT1G02900",1181.68671088624,0.381960835710472,0.386135945712667,0.989187460922631,0.322571432179086,0.941298353194231
"AT1G02910",163.76465037472,-0.02005752689539,0.402698894406983,-0.0498077525763433,0.960275588690532,0.998279737371591
"AT1G02920",8482.43184953785,1.5783276766939,1.95266595578487,0.8082937442618,0.418921502899971,0.966147289094905
"AT1G02930",4464.56500237986,2.11182662463804,1.92525764542603,1.09690598017115,0.272682494291041,0.906165375479733
"AT1G02940",0,NA,NA,NA,NA,NA
"AT1G02950",53.6755976340324,-0.522037842049848,0.784687563061956,-0.665281147075641,0.505870686698272,0.974803698157392
"AT1G02960",191.437160942397,-0.0385232124162602,0.510148976289363,-0.0755136522991069,0.939806035587259,0.997058086770425
"AT1G02965",0,NA,NA,NA,NA,NA
"AT1G02970",15.7408413221714,-0.411973191088037,0.965413998163537,-0.426732150012031,0.669574430844877,0.995441768688644
"AT1G02980",1.99622086596169,1.92039322492461,2.92641454926165,0.65622733642065,0.511677862586927,NA
"AT1G02990",432.000372428135,0.410218671953383,0.348833688422341,1.17597206224165,0.239606040302113,0.87788507010167
"AT1G03000",214.374736086962,-0.158092421330767,0.398078788909852,-0.397138520652425,0.691265315330432,0.995818004740788
"AT1G03010",36.2182751476762,-0.386341356262383,0.681325636604011,-0.567043621296942,0.570684545395283,0.98530333974433
"AT1G03020",0,NA,NA,NA,NA,NA
"AT1G03030",183.564459459052,-0.341102494744717,0.392400677757765,-0.869270911288501,0.384698969425171,0.957425548297323
"AT1G03040",491.577341697318,0.126713323242353,0.28726968867537,0.441095347812856,0.659143971319491,0.995357432799861
"AT1G03050",2.7160685966654,-1.95881456017845,2.57701750608396,-0.760109139947237,0.44718934974368,NA
"AT1G03055",2.09954775222307,4.63952609879088,3.49914132781268,1.32590417595138,0.184871439607683,NA
"AT1G03060",842.919588179554,0.211256324696536,0.331203799637232,0.637843904351115,0.523575296534891,0.976070057526822
"AT1G03070",18.8233911786697,-0.4321191113267,0.968348765983385,-0.446243261215778,0.655421536398887,0.995357432799861
"AT1G03080",2159.70564720308,-0.340556709132387,0.363417444176667,-0.937095108089619,0.348709637561344,0.950159074371174
"AT1G03090",1645.36873419468,-0.869645211393092,0.344827243899137,-2.52197361658427,0.0116698460578704,0.221972422654724
"AT1G03100",28.4736022331749,0.0873191962118509,0.753071500453743,0.115950737956806,0.907691583772095,0.996150562299559
"AT1G03103",0,NA,NA,NA,NA,NA
"AT1G03106",21.1358630622839,-0.0722943568297851,0.873636028564111,-0.082751116558925,0.934049439079215,0.996150562299559
"AT1G03110",127.339917996575,0.504968968929107,0.400954734081781,1.25941640291522,0.207879967823779,0.84489146073736
"AT1G03120",0.200442288718041,-1.14015546083758,4.987752451342,-0.228591028115441,0.819186798479686,NA
"AT1G03130",14.6880078050305,-1.00170640519802,1.07981288864456,-0.927666650150303,0.353580512927807,0.950159074371174
"AT1G03140",593.129706624372,0.0495806258046525,0.268681908573499,0.184532803372913,0.853595495633421,0.996150562299559
"AT1G03150",175.733407185999,0.0960028604538183,0.37541923278348,0.25572174270887,0.798165705005209,0.995912776838911
"AT1G03160",98.0435247173955,0.393171324210044,0.467818560682115,0.840435496267548,0.400664253818767,0.960497214467494
"AT1G03165",0.807350292491381,1.09607689365277,3.96877346053985,0.276175222534289,0.782413486982145,NA
"AT1G03170",1.97583541176988,0.317488073786641,2.42433578704353,0.130958786931829,0.895807909815879,NA
"AT1G03180",31.5437205524446,0.351614440791222,0.776475403843723,0.452833971366837,0.650668299567901,0.995357432799861
"AT1G03190",134.992861847872,0.0176494169190786,0.393346980964341,0.0448698420814336,0.964211055157028,0.998788360897592
"AT1G03200",148.837030443969,-0.517059440925442,0.564178125008736,-0.916482610731203,0.359413823934111,0.951404290426614
"AT1G03210",257.592800776275,-0.0703189738399488,0.323955301733712,-0.217063815482021,0.828158612717527,0.995912776838911
"AT1G03220",3803.76611686308,-0.667219931979376,0.451724237586993,-1.47705143196104,0.139661851106582,0.760158456261994
"AT1G03230",241.076420570293,0.0879343681427745,0.363939014098786,0.241618416097885,0.809075850846442,0.995912776838911
"AT1G03240",11.8227394760918,0.559300862372025,1.19893669911604,0.466497407898509,0.640859502550384,0.993258050869106
"AT1G03250",228.293138852648,0.488432881825777,0.385913467909049,1.2656538899049,0.205637023377656,0.844573674889385
"AT1G03260",84.9878900378245,0.514674846263543,0.465607039988496,1.10538458842087,0.26899297885906,0.901531748040765
"AT1G03270",16.1389505578544,0.222108824706866,0.959433069915989,0.231500071939687,0.816926329555541,0.995912776838911
"AT1G03280",441.739324535986,-0.0476264565694342,0.294169343246757,-0.161901495389626,0.87138342520579,0.996150562299559
"AT1G03290",657.315971441134,0.133290072785814,0.317261657175117,0.420126636078947,0.674392945291605,0.995441768688644
"AT1G03300",22.6947462427607,-1.23826488008055,0.825430541998512,-1.50014424845789,0.133577041153094,0.750360972272401
"AT1G03310",61.659568191262,-0.170222802294144,0.524904574086212,-0.324292853782954,0.745716329458828,0.995818004740788
"AT1G03320",0,NA,NA,NA,NA,NA
